q (1/m),C_top (m^4)
1.55E+01,5.41E-11
3.11E+01,1.72E-12
4.66E+01,1.35E-12
6.21E+01,1.98E-12
7.77E+01,8.40E-13
9.32E+01,6.73E-13
1.09E+02,8.27E-13
1.24E+02,3.48E-13
1.40E+02,2.91E-13
1.55E+02,1.95E-13
1.71E+02,4.13E-13
1.86E+02,4.15E-13
2.10E+02,9.14E-14
2.41E+02,6.13E-15
2.72E+02,2.07E-13
3.03E+02,6.76E-14
3.34E+02,4.18E-14
3.73E+02,1.54E-13
4.19E+02,1.16E-13
4.74E+02,3.04E-13
5.36E+02,2.33E-13
5.98E+02,9.25E-15
6.68E+02,6.02E-14
7.53E+02,3.28E-14
8.46E+02,3.25E-14
9.47E+02,1.13E-14
1.06E+03,8.60E-15
1.20E+03,4.93E-15
1.34E+03,6.11E-15
1.51E+03,6.08E-16
1.69E+03,1.49E-15
1.90E+03,1.20E-15
2.13E+03,6.67E-16
2.40E+03,6.20E-16
2.69E+03,2.77E-16
3.02E+03,1.25E-16
3.39E+03,1.12E-16
3.81E+03,9.79E-17
4.28E+03,8.78E-17
4.81E+03,2.65E-17
5.40E+03,3.01E-17
6.06E+03,1.81E-17
6.80E+03,9.59E-18
7.64E+03,1.20E-17
8.58E+03,6.09E-18
9.63E+03,4.48E-18
1.08E+04,2.05E-18
1.21E+04,1.61E-18
1.36E+04,1.04E-18
1.53E+04,7.29E-19
1.72E+04,6.02E-19
1.93E+04,4.17E-19
2.17E+04,2.37E-19
2.43E+04,1.65E-19
2.73E+04,1.19E-19
3.07E+04,7.33E-20
3.44E+04,5.77E-20
3.86E+04,4.08E-20
4.34E+04,2.60E-20
4.87E+04,1.68E-20
5.47E+04,1.06E-20
6.14E+04,7.83E-21
6.90E+04,5.98E-21
7.74E+04,4.57E-21
8.69E+04,2.83E-21
9.76E+04,1.90E-21
1.10E+05,1.36E-21
1.23E+05,8.96E-22
1.38E+05,6.34E-22
1.55E+05,4.78E-22
1.74E+05,3.41E-22
1.96E+05,2.73E-22
2.20E+05,1.98E-22
2.47E+05,1.41E-22
2.77E+05,1.01E-22
3.11E+05,6.56E-23
3.49E+05,4.33E-23
3.92E+05,2.99E-23
4.40E+05,2.28E-23
4.94E+05,1.87E-23
5.55E+05,1.32E-23
6.23E+05,8.50E-24
6.99E+05,6.84E-24
7.85E+05,5.77E-24
8.81E+05,3.88E-24
9.90E+05,3.48E-24
1.11E+06,2.82E-24
