"X(¥ìm)","Z(¥ìm)"
"0.000 ",""
"11.327 ",""
"22.653 ",""
"33.980 ",""
"45.306 ",""
"56.633 ",""
"67.960 ",""
"79.286 ",""
"90.613 ",""
"101.940 ",""
"113.266 ",""
"124.593 ",""
"135.919 ",""
"147.246 ",""
"158.573 ","-1960.712 "
"169.899 ","-1962.117 "
"181.226 ","-1962.277 "
"192.553 ","-1962.624 "
"203.879 ","-1963.086 "
"215.206 ","-1956.124 "
"226.532 ","-1964.797 "
"237.859 ","-1969.440 "
"249.186 ","-1974.412 "
"260.512 ","-1975.223 "
"271.839 ","-1986.204 "
"283.166 ","-1990.390 "
"294.492 ","-1997.140 "
"305.819 ","-2004.124 "
"317.145 ","-2007.414 "
"328.472 ","-2012.190 "
"339.799 ","-2017.570 "
"351.125 ","-2026.560 "
"362.452 ","-2031.214 "
"373.779 ","-2031.001 "
"385.105 ","-2037.833 "
"396.432 ","-2045.174 "
"407.758 ","-2050.259 "
"419.085 ","-2059.550 "
"430.412 ","-2066.958 "
"441.738 ","-2075.479 "
"453.065 ","-2086.889 "
"464.392 ","-2095.958 "
"475.718 ","-2102.489 "
"487.045 ","-2108.005 "
"498.371 ","-2116.414 "
"509.698 ","-2121.547 "
"521.025 ","-2122.066 "
"532.351 ","-2124.031 "
"543.678 ","-2125.821 "
"555.005 ","-2127.204 "
"566.331 ","-2123.733 "
"577.658 ","-2123.965 "
"588.984 ","-2123.184 "
"600.311 ","-2126.558 "
"611.638 ","-2120.837 "
"622.964 ","-2124.330 "
"634.291 ","-2127.288 "
"645.618 ","-2131.342 "
"656.944 ","-2130.904 "
"668.271 ","-2132.285 "
"679.597 ","-2136.919 "
"690.924 ","-2139.632 "
"702.251 ","-2142.403 "
"713.577 ","-2143.871 "
"724.904 ","-2144.925 "
"736.231 ","-2146.771 "
"747.557 ","-2146.965 "
"758.884 ","-2147.562 "
"770.210 ","-2148.049 "
"781.537 ","-2148.336 "
"792.864 ","-2151.569 "
"804.190 ","-2152.409 "
"815.517 ","-2153.481 "
"826.844 ","-2157.479 "
"838.170 ","-2158.617 "
"849.497 ","-2162.886 "
"860.823 ","-2165.741 "
"872.150 ","-2170.200 "
"883.477 ","-2177.859 "
"894.803 ","-2180.227 "
"906.130 ","-2185.299 "
"917.457 ","-2190.195 "
"928.783 ","-2190.609 "
"940.110 ","-2194.716 "
"951.436 ","-2193.112 "
"962.763 ","-2194.508 "
"974.090 ","-2192.855 "
"985.416 ","-2192.559 "
"996.743 ","-2189.995 "
"1008.070 ","-2186.522 "
"1019.396 ","-2182.961 "
"1030.723 ","-2174.286 "
"1042.049 ","-2170.576 "
"1053.376 ","-2165.833 "
"1064.703 ","-2161.687 "
"1076.029 ","-2174.939 "
"1087.356 ","-2174.007 "
"1098.683 ","-2170.724 "
"1110.009 ","-2186.779 "
"1121.336 ","-2187.373 "
"1132.662 ","-2188.149 "
"1143.989 ","-2090.020 "
"1155.316 ","-1835.159 "
"1166.642 ","-1611.374 "
"1177.969 ","-1383.036 "
"1189.296 ","-1149.575 "
"1200.622 ","-911.339 "
"1211.949 ","-668.765 "
"1223.275 ","-422.238 "
"1234.602 ","-172.261 "
"1245.929 ","78.413 "
"1257.255 ","328.651 "
"1268.582 ","575.965 "
"1279.909 ","816.802 "
"1291.235 ","1049.729 "
"1302.562 ","1203.737 "
"1313.888 ","1220.555 "
"1325.215 ","1221.941 "
"1336.542 ","1229.309 "
"1347.868 ","1232.966 "
"1359.195 ","1239.231 "
"1370.522 ","1248.247 "
"1381.848 ","1253.754 "
"1393.175 ","1258.725 "
"1404.501 ","1263.639 "
"1415.828 ","1269.159 "
"1427.155 ","1274.093 "
"1438.481 ","1278.204 "
"1449.808 ","1281.445 "
"1461.134 ","1286.382 "
"1472.461 ","1291.680 "
"1483.788 ","1295.618 "
"1495.114 ","1300.132 "
"1506.441 ","1304.753 "
"1517.768 ","1309.806 "
"1529.094 ","1315.025 "
"1540.421 ","1319.597 "
"1551.747 ","1324.276 "
"1563.074 ","1328.406 "
"1574.401 ","1332.317 "
"1585.727 ","1336.920 "
"1597.054 ","1342.002 "
"1608.381 ","1346.092 "
"1619.707 ","1348.776 "
"1631.034 ","1352.991 "
"1642.360 ","1357.199 "
"1653.687 ","1359.779 "
"1665.014 ","1364.141 "
"1676.340 ","1366.047 "
"1687.667 ","1370.179 "
"1698.994 ","1374.268 "
"1710.320 ","1378.190 "
"1721.647 ","1381.947 "
"1732.973 ","1386.638 "
"1744.300 ","1390.100 "
"1755.627 ","1395.290 "
"1766.953 ","1400.637 "
"1778.280 ","1405.012 "
"1789.607 ","1408.982 "
"1800.933 ","1413.719 "
"1812.260 ","1418.230 "
"1823.586 ","1421.590 "
"1834.913 ","1425.072 "
"1846.240 ","1429.104 "
"1857.566 ","1432.726 "
"1868.893 ","1436.417 "
"1880.220 ","1440.031 "
"1891.546 ","1443.170 "
"1902.873 ","1447.560 "
"1914.199 ","1451.023 "
"1925.526 ","1454.427 "
"1936.853 ","1458.979 "
"1948.179 ","1462.499 "
"1959.506 ","1466.662 "
"1970.833 ","1469.532 "
"1982.159 ","1473.267 "
"1993.486 ","1474.960 "
"2004.812 ","1476.245 "
"2016.139 ","1478.589 "
"2027.466 ","1478.222 "
"2038.792 ","1479.742 "
"2050.119 ","1478.766 "
"2061.446 ","1482.451 "
"2072.772 ","1481.513 "
"2084.099 ","1480.763 "
"2095.425 ","1480.147 "
"2106.752 ","1480.601 "
"2118.079 ","1479.361 "
"2129.405 ","1478.223 "
"2140.732 ","1476.982 "
"2152.059 ","1476.497 "
"2163.385 ","1475.749 "
"2174.712 ","1474.389 "
"2186.038 ","1474.076 "
"2197.365 ","1475.022 "
"2208.692 ","1475.112 "
"2220.018 ","1475.238 "
"2231.345 ","1477.401 "
"2242.672 ","1478.745 "
"2253.998 ","1479.637 "
"2265.325 ","1482.283 "
"2276.651 ","1484.457 "
"2287.978 ","1486.505 "
"2299.305 ","1488.207 "
"2310.631 ","1490.376 "
"2321.958 ","1491.828 "
"2333.285 ","1492.856 "
